# Generated by mat-a11y - do not edit
# traufix.de | freelancermap.de/profil/robin-spanier
URL,Score,Status,IssueCount,Priority,TopIssue
ChecklistProgress,81,warning,26,150,colorContrast
RichtextEditor,79,warning,16,130,matIconAccessibility
Navigation,90,passing,17,111,colorContrast
RsvpTracker,82,warning,20,106,colorContrast
StatusDashboard,82,warning,16,106,colorContrast
PresetExampleView,77,warning,15,103,colorContrast
Referral,83,warning,14,90,colorContrast
Locations,70,warning,13,89,matIconAccessibility
MultipleChoiceQuiz,80,warning,14,88,colorContrast
MasonryBoardComponent,70,warning,13,82,colorContrast
GuideIndexComponent,70,warning,14,80,colorContrast
Replies,89,warning,11,73,colorContrast
Upgrade,71,warning,14,72,colorContrast
TaskOrganizer,76,warning,12,72,colorContrast
StyleMixerComponent,84,warning,12,70,colorContrast
BudgetBreakdownComparisonComponent,79,warning,11,67,scopeAttrMisuse
PrintableChecklistComponent,78,warning,12,64,colorContrast
RatingComparisonComponent,76,warning,10,60,scopeAttrMisuse
TipCarouselComponent,76,warning,10,60,colorContrast
VendorTimeline,89,warning,12,56,smallFontSize
ColorPaletteComponent,83,warning,10,56,colorContrast
Housing,87,warning,8,56,colorContrast
Quote,84,warning,8,56,matIconAccessibility
CancelSubscriptionDialog,82,warning,8,56,matIconAccessibility
General,86,warning,9,55,colorContrast
ElementPairingComponent,79,warning,8,53,colorContrast
Landing,76,warning,10,52,colorContrast
AddDeadlineItemDialog,71,warning,8,52,colorContrast
BudgetAllocator,85,warning,11,51,smallFontSize
TimelineComparisonComponent,83,warning,8,50,colorContrast
InfoCardsComponent,80,warning,8,50,colorContrast
WordCountTrackerComponent,84,warning,8,50,colorContrast
Administration,93,passing,7,49,matIconAccessibility
TaskAssignmentTracker,80,warning,8,46,colorContrast
Organisators,88,warning,7,45,colorContrast
DateCountdownComponent,85,warning,8,44,cdkLiveAnnouncer
ContactInformation,69,warning,7,43,matIconAccessibility
ComparisonTable,90,passing,6,42,colorContrast
WeddingRegistry,84,warning,6,42,clickWithoutKeyboard
RsvpResponseTracker,86,warning,6,40,colorContrast
Messages,88,warning,6,40,matIconAccessibility
Countdown,78,warning,6,40,matIconAccessibility
Contact,83,warning,6,38,colorContrast
GuestEstimatorComponent,86,warning,7,37,cdkLiveAnnouncer
WeightedDecisionMakerComponent,86,warning,7,37,colorContrast
AssignableChecklistComponent,76,warning,6,36,colorContrast
TimelinePlanner,83,warning,6,36,colorContrast
Faq,84,warning,5,35,clickWithoutKeyboard
WeddingAbc,86,warning,5,35,colorContrast
TitleImage,89,warning,5,35,matIconAccessibility
ReserveDialog,88,warning,5,35,matIconAccessibility
QuantityEstimatorComponent,78,warning,8,34,smallFontSize
StyleQuizComponent,79,warning,6,34,colorContrast
PriorityChecklistComponent,78,warning,5,33,colorContrast
DragDropTimelineComponent,81,warning,5,33,colorContrast
TipCalculatorComponent,75,warning,7,33,smallFontSize
OptionSelectorComponent,83,warning,5,33,colorContrast
